patient,model_type,bit_width,event_average_detection_delay,event_sensitivity,event_false_detections_per_hour
131,bit_width_12,12.0,5.444444444444445,100.0,3.1363088057901085
132,bit_width_12,12.0,2.7864583333333335,94.11764705882354,5.1046025518389415
133,bit_width_12,12.0,10.0,87.5,6.242460796139927
134,bit_width_12,12.0,-4.0,100.0,11.845647621896498
135,bit_width_12,12.0,5.375,100.0,7.807358659886329
136,bit_width_12,12.0,-3.7777777777777777,100.0,3.82889620101705
137,bit_width_12,12.0,-2.1666666666666665,85.71428571428571,4.828242623518213
138,bit_width_12,12.0,-0.029411764705882353,94.44444444444444,6.6987855778962775
139,bit_width_12,12.0,17.333333333333332,85.71428571428571,3.2306311696081367
140,bit_width_12,12.0,-9.0,100.0,10.230332037092431
141,bit_width_12,12.0,26.5,38.888888888888886,2.51271313191744
142,bit_width_12,12.0,-1.5714285714285714,100.0,1.9999145335669417
143,bit_width_12,12.0,9.333333333333334,75.0,3.499850433742148
144,bit_width_12,12.0,-4.833333333333333,100.0,6.284729830148557
145,bit_width_12,12.0,2.7777777777777777,90.0,9.26114268620999
1,bit_width_14,14.0,0.5333333333333334,95.23809523809524,5.921212815157434
2,bit_width_14,14.0,-5.833333333333333,100.0,11.663955326529504
3,bit_width_14,14.0,2.3333333333333335,100.0,9.685521489869316
4,bit_width_14,14.0,-6.111111111111111,100.0,8.50284826810832
5,bit_width_14,14.0,26.2,71.42857142857143,6.700728815271794
6,bit_width_14,14.0,-14.2,62.5,7.9063187833799375
7,bit_width_14,14.0,-0.7777777777777778,85.0,8.854489123824653
8,bit_width_14,14.0,7.0,11.11111111111111,3.616723886314626
9,bit_width_14,14.0,2.642857142857143,60.6060606060606,7.6855744885798165
10,bit_width_14,14.0,-7.8,100.0,9.585666473377524
11,bit_width_14,14.0,-3.2142857142857144,100.0,2.040931848540554
12,bit_width_14,14.0,4.5,66.66666666666667,3.042136003337505
13,bit_width_14,14.0,3.424242424242424,68.75,9.198907359133223
14,bit_width_14,14.0,-16.88888888888889,52.94117647058823,7.529427490028304
15,bit_width_14,14.0,-3.8,100.0,7.044332998996991
16,bit_width_14,14.0,-21.333333333333332,75.0,11.224046779377938
17,bit_width_14,14.0,38.666666666666664,60.0,5.8100080168002295
18,bit_width_14,14.0,-15.333333333333334,100.0,6.26576820461973
19,bit_width_14,14.0,27.5,66.66666666666667,3.0942083378012897
20,bit_width_14,14.0,-0.2,100.0,5.622422857284538
21,bit_width_14,14.0,-3.2,100.0,8.800066532763418
22,bit_width_14,14.0,7.571428571428571,100.0,4.035855270843302
23,bit_width_14,14.0,-2.6666666666666665,50.0,6.2253546578393895
24,bit_width_14,14.0,-18.0,57.142857142857146,6.514976241601985
25,bit_width_14,14.0,7.4,71.42857142857143,10.396671927445263
26,bit_width_14,14.0,-13.6,83.33333333333333,9.131466530353906
27,bit_width_14,14.0,0.8928571428571429,77.45098039215686,9.406238835417668
28,bit_width_14,14.0,-16.846153846153847,76.47058823529412,9.639470371854507
29,bit_width_14,14.0,2.2,100.0,6.4855508569605345
30,bit_width_14,14.0,10.6,100.0,3.183237469186524
31,bit_width_14,14.0,-30.0,20.0,6.7026471518475805
32,bit_width_14,14.0,-0.18181818181818182,100.0,2.7726419171085808
33,bit_width_14,14.0,-7.2,100.0,8.696060335039425
34,bit_width_14,14.0,19.0,66.66666666666667,4.0
35,bit_width_14,14.0,0.8333333333333334,100.0,7.1723297174309515
36,bit_width_14,14.0,-23.25,57.142857142857146,10.835735596951977
37,bit_width_14,14.0,-8.4,100.0,10.398239936544854
38,bit_width_14,14.0,8.818181818181818,100.0,6.730863568803037
39,bit_width_14,14.0,-3.625,100.0,6.749980361274661
40,bit_width_14,14.0,2.4,100.0,7.451182399653236
41,bit_width_14,14.0,-13.4,62.5,6.749696059468902
42,bit_width_14,14.0,-17.34375,100.0,9.691582248037115
43,bit_width_14,14.0,10.083333333333334,100.0,3.638369673038883
44,bit_width_14,14.0,-4.0,75.0,5.378305391723909
45,bit_width_14,14.0,-14.666666666666666,30.0,5.18034712927503
46,bit_width_14,14.0,7.666666666666667,100.0,6.581223835364686
47,bit_width_14,14.0,7.0,54.285714285714285,5.487756855952216
48,bit_width_14,14.0,18.0,40.0,5.904370291997131
49,bit_width_14,14.0,-20.0,85.71428571428571,8.816632813136815
50,bit_width_14,14.0,13.571428571428571,100.0,5.214285714285714
51,bit_width_14,14.0,-4.111111111111111,100.0,7.2986903253062945
52,bit_width_14,14.0,0.8,62.5,5.715394553016905
